code_national_tri,libelle_tri,libelle_bassin_risques,date_arrete_pcb,date_arrete_carte,date_arrete_pcb_local,date_arrete_prefet_parties_prenantes,date_arrete_approbation,date_arrete_national,code_insee,libelle_commune,num_risque,libelle_risque_long
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06149,LA TRINITE,183,Par une crue torrentielle ou à montée rapide de cours d'eau
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06149,LA TRINITE,286,Par submersion marine
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06155,VALLAURIS,183,Par une crue torrentielle ou à montée rapide de cours d'eau
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06155,VALLAURIS,286,Par submersion marine
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06161,VILLENEUVE-LOUBET,183,Par une crue torrentielle ou à montée rapide de cours d'eau
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06161,VILLENEUVE-LOUBET,286,Par submersion marine
84DREAL20140001,TRI Avignon,,,01/08/2014,,,,06/11/2012,07042,BOURG-SAINT-ANDEOL,180,Par une crue à débordement lent de cours d'eau
84DREAL20140001,TRI Avignon,,,01/08/2014,,,,06/11/2012,07042,BOURG-SAINT-ANDEOL,183,Par une crue torrentielle ou à montée rapide de cours d'eau
26DREAL20160001,Plaine de Valende,,12/12/2012,20/12/2013,15/02/2016,27/04/2016,,06/11/2012,07055,CHARMES-SUR-RHONE,180,Par une crue à débordement lent de cours d'eau
26DREAL20160001,Plaine de Valende,,12/12/2012,20/12/2013,15/02/2016,27/04/2016,,06/11/2012,07055,CHARMES-SUR-RHONE,183,Par une crue torrentielle ou à montée rapide de cours d'eau
26DREAL20160001,Plaine de Valende,,12/12/2012,20/12/2013,15/02/2016,27/04/2016,,06/11/2012,07070,CORNAS,180,Par une crue à débordement lent de cours d'eau
26DREAL20160001,Plaine de Valende,,12/12/2012,20/12/2013,15/02/2016,27/04/2016,,06/11/2012,07070,CORNAS,183,Par une crue torrentielle ou à montée rapide de cours d'eau
26DREAL20160001,Plaine de Valende,,12/12/2012,20/12/2013,15/02/2016,27/04/2016,,06/11/2012,07102,GUILHERAND-GRANGES,180,Par une crue à débordement lent de cours d'eau
