code_national_tri,libelle_tri,liste_libelle_risque,libelle_bassin_risques,date_arrete_pcb,date_arrete_carte,date_arrete_pcb_local,date_arrete_prefet_parties_prenantes,date_arrete_approbation,date_arrete_national,code_insee,libelle_commune
34DDTM20120167,Montpellier-Lunel-Mauguio,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",Bassin Rhône-Méditerranée,12/12/2012,20/12/2013,15/02/2016,08/05/2016,23/06/2017,,30019,AUBAIS
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30028,BAGNOLS-SUR-CEZE
30DREAL20140001,TRI Delta du Rhône,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,,20/12/2013,,,,06/11/2012,30032,BEAUCAIRE
30DREAL20140002,TRI Delta du Rhône,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,,20/12/2013,,,,06/11/2012,30032,BEAUCAIRE
30DREAL20140001,TRI Delta du Rhône,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,,20/12/2013,,,,06/11/2012,30034,BELLEGARDE
30DREAL20140002,TRI Delta du Rhône,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,,20/12/2013,,,,06/11/2012,30034,BELLEGARDE
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30070,CARSAN
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30081,CHUSCLAN
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30084,CODOLET
30DREAL20140001,TRI Delta du Rhône,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,,20/12/2013,,,,06/11/2012,30117,FOURQUES
30DREAL20140002,TRI Delta du Rhône,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,,20/12/2013,,,,06/11/2012,30117,FOURQUES
34DDTM20120167,Montpellier-Lunel-Mauguio,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",Bassin Rhône-Méditerranée,12/12/2012,20/12/2013,15/02/2016,08/05/2016,23/06/2017,,30123,GALLARGUES-LE-MONTUEUX
34DDTM20120167,Montpellier-Lunel-Mauguio,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",Bassin Rhône-Méditerranée,12/12/2012,20/12/2013,15/02/2016,08/05/2016,23/06/2017,,30133,LE GRAU-DU-ROI
